17.8.2020-13:9:59//grupajderiAssembleBot joined Chill(Thy Server)
17.8.2020-13:10:2//grupajderiAssembleBot left Chill(Thy Server)
17.8.2020-13:10:16//illneso left Chill(Thy Server)
17.8.2020-13:10:27//illneso joined Chill(Thy Server)
17.8.2020-13:10:36//grupajderiAssembleBot joined Chill(Thy Server)
17.8.2020-13:10:39//grupajderiAssembleBot left Chill(Thy Server)
17.8.2020-13:10:41//grupajderiAssembleBot joined Chill(Thy Server)
17.8.2020-13:10:43//grupajderiAssembleBot left Chill(Thy Server)
17.8.2020-13:11:7//jarkela left Chill(Thy Server)
18.8.2020-12:17:34//solimm4sks joined LOL(Thy Server)
18.8.2020-12:17:51//grupajderiAssembleBot joined LOL(Thy Server)
18.8.2020-12:17:54//grupajderiAssembleBot left LOL(Thy Server)
18.8.2020-12:18:28//Carklju joined LOL(Thy Server)
18.8.2020-12:18:35//Groovy joined LOL(Thy Server)
18.8.2020-12:19:29//Groovy left LOL(Thy Server)
18.8.2020-12:49:50//solimm4sks left tft-bleja(Thy Server)
18.8.2020-12:49:53//solimm4sks joined CIVILIZACIJA 6(Thy Server)
18.8.2020-12:52:24//illneso left LOL(Thy Server)
18.8.2020-12:52:30//illneso joined LOL(Thy Server)
18.8.2020-13:0:25//illneso left LOL(Thy Server)
18.8.2020-13:4:18//grupajderiAssembleBot joined LOL(Thy Server)
18.8.2020-13:4:21//grupajderiAssembleBot left LOL(Thy Server)
18.8.2020-13:4:35//grupajderiAssembleBot joined LOL(Thy Server)
18.8.2020-13:4:38//grupajderiAssembleBot left LOL(Thy Server)
18.8.2020-13:4:47//grupajderiAssembleBot joined LOL(Thy Server)
18.8.2020-13:4:50//grupajderiAssembleBot left LOL(Thy Server)
18.8.2020-13:6:11//Urosh joined LOL(Thy Server)
18.8.2020-13:6:14//grupajderiAssembleBot joined LOL(Thy Server)
18.8.2020-13:6:17//grupajderiAssembleBot left LOL(Thy Server)
18.8.2020-13:8:11//Vanjanja left LOL(Thy Server)
18.8.2020-13:8:15//Vanjanja joined LOL(Thy Server)
18.8.2020-13:8:36//solimm4sks left LOL(Thy Server)
18.8.2020-13:8:38//solimm4sks joined LOL(Thy Server)
18.8.2020-13:39:44//solimm4sks left LOL(Thy Server)
18.8.2020-13:39:45//solimm4sks joined LOL(Thy Server)
18.8.2020-13:40:3//solimm4sks left LOL(Thy Server)
18.8.2020-13:40:3//solimm4sks joined LOL(Thy Server)
18.8.2020-13:45:27//Kobny joined LOL(Thy Server)
18.8.2020-13:46:57//Kobny left LOL(Thy Server)
18.8.2020-14:24:47//Mr. Janja left LOL(Thy Server)
18.8.2020-14:38:35//jarkela joined LOL(Thy Server)
18.8.2020-14:39:47//illneso joined LOL(Thy Server)
18.8.2020-14:44:54//Groovy joined LOL(Thy Server)
18.8.2020-14:49:46//Mr. Janja joined LOL(Thy Server)
18.8.2020-14:50:48//solimm4sks left tft-bleja(Thy Server)
18.8.2020-14:50:50//solimm4sks joined tft-bleja(Thy Server)
18.8.2020-14:51:41//NemanjaGemovic joined tft-bleja(Thy Server)
18.8.2020-14:53:23//NemanjaGemovic left tft-bleja(Thy Server)
18.8.2020-14:53:28//NemanjaGemovic joined LOL(Thy Server)
18.8.2020-14:58:22//NemanjaGemovic left LOL(Thy Server)
18.8.2020-15:3:27//grupajderiAssembleBot joined LOL(Thy Server)
18.8.2020-15:3:30//grupajderiAssembleBot left LOL(Thy Server)
18.8.2020-15:12:42//Vanjanja left afk(Thy Server)
18.8.2020-15:15:13//Carklju left LOL(Thy Server)
18.8.2020-15:38:32//grupajderiAssembleBot joined LOL(Thy Server)
